Model,k,SSE,RMSE,R2,AIC,BIC
Constant-beta baseline,3,1336360478.3315558,2955.3988244088746,0.6685698511757628,2451.3649993277895,2460.456313091967
"Piecewise-beta, free change point",5,529509970.44015557,1860.3358513991545,0.8686764752830732,2313.724768596753,2328.8769582037153
"Piecewise-beta, fixed May 26 reference",4,586323072.7917522,1957.594683879,0.8545862838468037,2327.318369726821,2339.440121412391
