tc_day,tc_date,beta1,beta2,e_mult,i_mult,R_before,R_after,SSE,RMSE,R2,AIC,BIC
14,2025-05-15,0.2794191079456868,0.18698046823223657,1.0125717129405976,0.998533586400491,1.397095539728434,0.9349023411611829,1678989833.234521,3312.671091385734,0.5835945021375911,2490.2860964722336,2505.4382860791957
15,2025-05-16,0.2801880745766076,0.18550924768238178,1.017442210126482,1.0012432226587988,1.4009403728830379,0.9275462384119089,1476169462.113098,3106.149774083641,0.6338958892822373,2470.58860237136,2485.7407919783222
16,2025-05-17,0.28018646839807054,0.1855092225045362,1.0174516549731374,1.0012556816499691,1.4009323419903525,0.9275461125226809,1314055069.7079172,2930.6305169449683,0.6741018053300399,2452.7896989412084,2467.9418885481705
17,2025-05-18,0.29960679732703904,0.17908013689294042,1.0725255183142304,1.0013201453092972,1.498033986635195,0.895400684464702,883567382.0836334,2403.112608617613,0.780866859138313,2392.063149473532,2407.2153390804942
18,2025-05-19,0.29968091611217496,0.17754671621462542,1.0761294533208874,0.9961220443312774,1.4984045805608748,0.887733581073127,794213960.6767975,2278.363649520461,0.8030273601670443,2375.7511066106717,2390.903296217634
19,2025-05-20,0.29123133112111504,0.1757559408292598,1.0014549664452552,1.033398048939835,1.4561566556055752,0.8787797041462989,736602801.0994292,2194.173510187088,0.8173154774095589,2364.2295808275203,2379.3817704344824
20,2025-05-21,0.28063806798399593,0.17842877372060106,1.008707728156295,0.9894260005494053,1.4031903399199797,0.8921438686030053,724977972.7990397,2176.790785277616,0.8201985457403917,2361.7957280186774,2376.9479176256395
21,2025-05-22,0.2795906023861999,0.17807708757139734,0.9991524110543683,0.9999840016759315,1.3979530119309995,0.8903854378569867,619396092.3920369,2012.0488247432188,0.8463838594366816,2337.714092095031,2352.866281701993
22,2025-05-23,0.2801608240734247,0.17539358326849044,1.000099302429191,0.9932365054910938,1.4008041203671233,0.8769679163424522,556155372.0827631,1906.5682342663438,0.8620681614522747,2321.236411710424,2336.388601317386
23,2025-05-24,0.27994563470362654,0.17510694564660134,0.9999727796462176,0.9998460977133173,1.3997281735181326,0.8755347282330067,529509970.44015557,1860.3358513991545,0.8686764752830732,2313.724768596753,2328.8769582037153
24,2025-05-25,0.2856689894876961,0.17344762226022678,1.0522499111206616,0.9889842269221505,1.4283449474384804,0.8672381113011338,727678841.3494048,2180.8417775007983,0.8195287045709493,2362.3646626222867,2377.516852229249
