Weekday,mean_residual,median_residual,n
Monday,530.0587564204388,110.38348874154144,22
Tuesday,851.6819254086423,351.53632047347764,22
Wednesday,580.4440888260955,633.3948911427583,21
Thursday,469.90659259949456,286.54609568466276,22
Friday,676.2090882070039,385.3229967376478,22
Saturday,-1762.3821935657515,-1192.6475536848925,22
Sunday,-1969.8323992819196,-1665.5421727817265,22
