Date,Observed,Predicted,Residual,Weekday
2025-05-01,6366.047745358104,6748.989838314428,-382.9420929563239,Thursday
2025-05-02,6620.689655172438,7394.304369415147,-773.6147142427099,Friday
2025-05-03,7066.312997347497,7925.799001753285,-859.4860044057878,Saturday
2025-05-04,6620.689655172434,8401.503423672235,-1780.813768499801,Sunday
2025-05-05,8106.100795755986,8854.29608534605,-748.195289590064,Monday
2025-05-06,11076.923076923087,9302.99883774375,1773.9242391793377,Tuesday
2025-05-07,11013.262599469508,9758.55309616934,1254.7095033001679,Wednesday
2025-05-08,11374.0053050398,10227.531536015807,1146.4737690239926,Thursday
2025-05-09,11310.34482758622,10714.052097099122,596.2927304870973,Friday
2025-05-10,8212.201591511954,11220.89346997274,-3008.691878460786,Saturday
2025-05-11,8042.440318302418,11750.104586936528,-3707.66426863411,Sunday
2025-05-12,12116.710875331575,12303.34201572042,-186.63114038884487,Monday
2025-05-13,12222.811671087544,12882.089191354089,-659.2775202665453,Tuesday
2025-05-14,12244.03183023874,13487.707492128491,-1243.6756618897507,Wednesday
2025-05-15,13517.241379310355,14121.537988215934,-604.296608905579,Thursday
2025-05-16,14960.21220159152,14784.982185734325,175.2300158571943,Friday
2025-05-17,11883.289124668448,15479.388917433167,-3596.0997927647186,Saturday
2025-05-18,12328.91246684351,16206.333623482518,-3877.4211566390077,Sunday
2025-05-19,18992.042440318302,16967.29485464188,2024.7475856764213,Monday
2025-05-20,19925.729442970827,17763.82226960517,2161.9071733656565,Tuesday
2025-05-21,21220.15915119364,18597.589886076596,2622.569265117043,Wednesday
2025-05-22,21899.20424403184,19470.33176216064,2428.8724818712,Thursday
2025-05-23,22132.625994694965,20383.883547645702,1748.7424470492624,Friday
2025-05-24,15511.936339522555,19983.824292801717,-4471.887953279162,Saturday
2025-05-25,15045.092838196297,18655.25983327953,-3610.1669950832347,Sunday
2025-05-26,22684.350132626,17755.000871353364,4929.349261272637,Monday
2025-05-27,21835.54376657825,17111.804073828436,4723.739692749812,Tuesday
2025-05-28,21368.700265251995,16623.547595818618,4745.152669433377,Wednesday
2025-05-29,19416.445623342184,16229.3219626436,3187.123660698584,Thursday
2025-05-30,20774.53580901857,15892.7872222543,4881.74858676427,Friday
2025-05-31,13793.103448275871,15592.257328976899,-1799.1538807010274,Saturday
2025-06-01,12453.166815343444,15314.776032904441,-2861.6092175609974,Sunday
2025-06-02,12827.832292595896,15052.591182868578,-2224.758890272682,Monday
2025-06-03,18786.797502230154,14801.064325343817,3985.733176886337,Tuesday
2025-06-04,17448.706512042816,14557.397585644781,2891.3089263980346,Wednesday
2025-06-05,17288.135593220337,14319.90695953269,2968.2286336876477,Thursday
2025-06-06,17252.453166815343,14087.561373013606,3164.8917938017366,Friday
2025-06-07,12149.86619090098,13859.72972928153,-1709.8635383805486,Saturday
2025-06-08,10508.474576271188,13635.99808977088,-3127.523513499691,Sunday
2025-06-09,14986.619090098126,13416.116868980485,1570.5022211176401,Monday
2025-06-10,13077.609277430864,13199.905809497252,-122.29653206638795,Tuesday
2025-06-11,11989.2952720785,12987.232841605693,-997.9375695271938,Wednesday
2025-06-12,11793.041926851023,12778.008643281064,-984.9667164300408,Thursday
2025-06-13,12221.231043710974,12572.150812786887,-350.9197690759138,Friday
2025-06-14,8510.258697591438,12369.589384670486,-3859.3306870790475,Saturday
2025-06-15,7850.13380909902,12170.267295266991,-4320.133486167971,Sunday
2025-06-16,11578.947368421052,11974.129505288181,-395.1821368671299,Monday
2025-06-17,10865.298840321138,11781.122338806324,-915.8234984851861,Tuesday
2025-06-18,10454.950936663694,11591.194899296528,-1136.2439626328342,Wednesday
2025-06-19,10258.69759143622,11404.296163350251,-1145.5985719140317,Thursday
2025-06-20,10454.95093666369,11220.383639887254,-765.4327032235633,Friday
2025-06-21,7225.691347011598,11039.40589224589,-3813.714545234292,Saturday
2025-06-22,6958.073148974126,10861.317268399614,-3903.244119425489,Sunday
2025-06-23,9687.77876895629,10686.072936694649,-998.2941677383587,Monday
2025-06-24,9277.430865298842,10513.618144015967,-1236.187278717125,Tuesday
2025-06-25,8849.241748438892,10343.91368997842,-1494.6719415395291,Wednesday
2025-06-26,8813.559322033894,10176.95975241568,-1363.4004303817856,Thursday
2025-06-27,8920.60660124888,10012.636743032326,-1092.0301417834453,Friday
2025-06-28,6244.424620874223,9850.975316886417,-3606.550696012194,Saturday
2025-06-29,6244.42462087422,9691.877252262784,-3447.4526313885644,Sunday
2025-06-30,9545.049063336304,9535.334505526582,9.714557809722464,Monday
2025-07-01,8145.16129032258,9381.306305385846,-1236.1450150632663,Tuesday
2025-07-02,8172.043010752689,9229.722956021224,-1057.6799452685345,Wednesday
2025-07-03,8369.175627240144,9080.602758083072,-711.4271308429288,Thursday
2025-07-04,8530.46594982079,8933.850876605697,-403.3849267849073,Friday
2025-07-05,5860.2150537634425,8789.462474518781,-2929.2474207553387,Saturday
2025-07-06,5887.09677419355,8647.391297975135,-2760.2945237815848,Sunday
2025-07-07,8718.63799283154,8507.58557315818,211.05241967336042,Monday
2025-07-08,7921.146953405018,8370.004286646656,-448.8573332416372,Tuesday
2025-07-09,7894.265232974911,8234.647020864626,-340.38178788971527,Wednesday
2025-07-10,7437.275985663083,8101.46481281938,-664.1888271562975,Thursday
2025-07-11,8279.569892473119,7970.419755970034,309.15013650308447,Friday
2025-07-12,5958.781362007169,7841.4790666881945,-1882.6977046810252,Saturday
2025-07-13,5698.924731182798,7714.608347280789,-2015.683616097991,Sunday
2025-07-14,8655.913978494622,7589.775982065545,1066.1379964290772,Monday
2025-07-15,8010.752688172045,7466.949991701683,543.8026964703622,Tuesday
2025-07-16,8145.16129032258,7346.098159727454,799.0631305951256,Wednesday
2025-07-17,8207.8853046595,7227.188833933649,980.6964707258503,Thursday
2025-07-18,7571.68458781362,7110.188730841409,461.4958569722112,Friday
