parameter,original_estimate,bootstrap_median,ci_2.5_pct,ci_97.5_pct,n_successful
beta1,0.28011822530626845,0.27980820672591467,0.17213374940717066,0.29022322461025146,500
beta2,0.17449260336632633,0.17499948760290884,0.1704007686760813,0.18057721293447915,500
R_before,1.4005911265313422,1.399041033629573,0.8606687470358533,1.451116123051257,500
R_after,0.8724630168316316,0.8749974380145441,0.8520038433804065,0.9028860646723957,500
