replicate,seed,success,error,change_index,change_date,beta1,beta2,e_mult,i_mult,R_before,R_after,optimizer_success,SSE,RMSE,R2,AIC,BIC
55,3754586063,True,,27,2025-05-28,0.17244881999808254,0.18358995104750528,0.005189502747752778,4.0199669854464535,0.8622440999904126,0.9179497552375263,True,1273207700.2611125,2884.7216427161534,0.6430688486039748,2447.9582091278003,2463.1103987347624
56,513830431,True,,25,2025-05-26,0.27991991271880257,0.17353616280189205,0.9999015200685946,1.0000907433223623,1.3995995635940128,0.8676808140094602,True,804196487.5231271,2292.637388023151,0.8249512162245006,2377.662188294023,2392.814377900985
57,1639753052,True,,21,2025-05-22,0.2799386938046371,0.17554519129117666,1.0006918624496182,1.000080691098781,1.3996934690231855,0.8777259564558832,True,543160037.7561731,1884.161778152157,0.8638521596879677,2317.618926212918,2332.77111581988
58,3611250051,True,,27,2025-05-28,0.24238273120060871,0.17483822776055946,0.9576754872676391,0.92629849942711,1.2119136560030435,0.8741911388027973,True,576609842.4053116,1941.3118709848948,0.8548744824642824,2326.7624891778823,2341.9146787848445
59,3511713835,True,,19,2025-05-20,0.2737069436458807,0.17722889184188617,0.9998885696148082,0.9997659222688571,1.3685347182294034,0.8861444592094309,True,472703832.57629955,1757.7165679307993,0.8773408724239594,2296.361877373366,2311.514066980328
60,557565083,True,,19,2025-05-20,0.27983009959974536,0.17659530537739257,0.9996135803137574,1.0016648836984032,1.3991504979987268,0.8829765268869628,True,615027563.5051692,2004.9408960779397,0.8372280429189352,2336.6311774784876,2351.7833670854498
61,2855486559,True,,20,2025-05-21,0.2799566931667406,0.17194414332763655,0.9996325149784242,0.9988450466629444,1.399783465833703,0.8597207166381827,True,463171700.12655073,1739.904024335545,0.8958198733729995,2293.2450810713904,2308.3972706783525
62,2473241788,True,,21,2025-05-22,0.2717729890205883,0.1769907415093074,0.9810626362794325,0.9827540072264365,1.3588649451029413,0.884953707546537,True,635985262.8220915,2038.8149557215338,0.8299866928199058,2341.757948280958,2356.91013788792
63,1390651213,True,,21,2025-05-22,0.280928642922844,0.17493688913311123,1.0000132976862237,0.9970471035336088,1.4046432146142198,0.8746844456655561,True,368289042.62930256,1551.4889383046584,0.9047292958661843,2258.1729283806303,2273.3251179875924
64,2968527470,True,,24,2025-05-25,0.2716265896782099,0.17313457883931524,0.9778563215758199,1.000074461303174,1.3581329483910494,0.8656728941965761,True,348008728.690447,1508.1667196254955,0.9086847888952758,2249.5069303667615,2264.6591199737236
65,2562063326,True,,20,2025-05-21,0.27997076783528313,0.17083649237269366,1.000026356460805,1.0002514237534086,1.3998538391764155,0.8541824618634682,True,670438034.1886904,2093.310281796226,0.8281099334154548,2349.829599408932,2364.9817890158943
66,1074680134,True,,23,2025-05-24,0.27126190624938756,0.1712648117238755,0.9999341190352752,0.9800376645785841,1.3563095312469378,0.8563240586193774,True,613985517.7902006,2003.241682987559,0.8563702325311241,2336.371728600325,2351.523918207287
67,105344037,True,,18,2025-05-19,0.2801970346515885,0.17665873215092318,1.000016920303748,1.0008100344256277,1.4009851732579426,0.8832936607546158,True,533254497.75425017,1866.9021170735389,0.8623402414306329,2314.8029285597127,2329.9551181666748
68,784673156,True,,23,2025-05-24,0.28004468071041116,0.17450942123638932,0.9907502972343608,0.9998235826611076,1.4002234035520558,0.8725471061819465,True,430337451.0153428,1677.0996030443905,0.8897746910156146,2281.9952730156388,2297.147462622601
69,758086080,True,,17,2025-05-18,0.2781029323096873,0.1812995897829989,0.9901369900475515,0.9999808114389128,1.3905146615484365,0.9064979489149945,True,745440070.6561266,2207.2963834858806,0.7963214089610413,2366.054249051991,2381.206438658953
70,987136069,True,,23,2025-05-24,0.2797762322249612,0.17636492076069504,0.999096926838284,0.9993381329490708,1.3988811611248058,0.8818246038034752,True,585628711.1909876,1956.4351855441603,0.8449055402076662,2329.1370698836017,2344.289259490564
71,3335646890,True,,24,2025-05-25,0.28113361042163537,0.17292498413752663,1.0448086704093429,1.0135480066087144,1.4056680521081768,0.8646249206876331,True,746087952.0991485,2208.2553846385804,0.8254951293958208,2366.187167596604,2381.339357203566
