Latent_days,Infectious_days,beta1,beta2,R_before,R_after,SSE,RMSE,R2,AIC,BIC
2.0,4.0,0.31657775216163003,0.22682730910732463,1.2663110086465201,0.9073092364292985,552862679.4908918,1900.915980599865,0.8633534847655366,2318.327890075202,2330.449641760772
2.0,5.0,0.2801015452736376,0.17449204625275988,1.400507726368188,0.8724602312637993,756702522.2955855,2223.9082983745056,0.8129720695995649,2366.3485550631817,2378.4703067487517
2.0,7.0,0.22673307704415316,0.11743132158906834,1.5871315393090721,0.8220192511234784,1485743394.7832997,3116.206209860719,0.6327810413668841,2469.5777042597892,2481.699455945359
3.0,4.0,0.301242000770473,0.23276316290807267,1.204968003081892,0.9310526516322907,1411741164.3124194,3037.6086702230928,0.651071563206295,2461.760714143479,2473.882465829049
3.0,5.0,0.28011831287747474,0.17449260335168318,1.4005915643873736,0.8724630167584159,529927504.8720189,1861.0691720663715,0.8690221829870352,2311.845366126803,2323.967117812373
3.0,7.0,0.2560447407080984,0.11616670293730705,1.792313184956689,0.8131669205611494,5238337744.258951,5851.282047249451,-0.294716798452187,2662.3713172949324,2674.4930689805024
4.0,4.0,0.3037162251551246,0.23173016573042493,1.2148649006204983,0.9269206629216997,1525145397.2653368,3157.2568109613253,0.623042372919616,2473.5824025212555,2485.7041542068255
4.0,5.0,0.2818753506208988,0.1733646048370758,1.4093767531044938,0.8668230241853789,600050925.0643592,1980.3791230491408,0.8516903547391435,2330.859335983915,2342.981087669485
4.0,7.0,0.23970997845777023,0.1176009783986791,1.6779698492043917,0.8232068487907538,1149015436.163248,2740.420553769895,0.7160073176816749,2430.2552023607573,2442.3769540463272
