Date,daily_cases,MA7
2025-09-19,1955.0,1866.0
2025-09-20,1383.0,1789.857142857143
2025-09-21,1269.0,1706.0
2025-09-22,2015.0,1643.0
2025-09-23,1738.0,1584.5714285714287
2025-09-24,1567.0,1521.0
2025-09-25,1574.0,1535.7142857142858
2025-09-26,1546.0,1431.7142857142858
2025-09-27,938.0,1389.0
2025-09-28,1372.0,1359.3333333333333
2025-09-29,1287.0,1316.4
2025-09-30,1439.0,1259.0
