Date,Observed,Predicted,Residual,Weekday
2025-05-01,6380.0,6766.618734026514,-386.6187340265142,Thursday
2025-05-02,6635.0,7413.075350933469,-778.075350933469,Friday
2025-05-03,7082.0,7945.959838857874,-863.9598388578743,Saturday
2025-05-04,6635.0,8423.251974596638,-1788.2519745966383,Sunday
2025-05-05,8124.0,8877.802496315102,-753.802496315102,Monday
2025-05-06,11102.0,9328.419493774792,1773.5805062252075,Tuesday
2025-05-07,11038.0,9786.039352605416,1251.9606473945842,Wednesday
2025-05-08,11399.0,10257.235187731001,1141.7648122689989,Thursday
2025-05-09,11336.0,10746.128934170207,589.8710658297932,Friday
2025-05-10,8231.0,11255.505600510602,-3024.5056005106017,Saturday
2025-05-11,8060.0,11787.42206389506,-3727.422063895059,Sunday
2025-05-12,12144.0,12343.544037895632,-199.54403789563185,Monday
2025-05-13,12250.0,12925.365080740303,-675.3650807403028,Tuesday
2025-05-14,12271.0,13534.25762472144,-1263.2576247214402,Wednesday
2025-05-15,13547.0,14171.574127579643,-624.5741275796427,Thursday
2025-05-16,14994.0,14838.728711424745,155.2712885752553,Friday
2025-05-17,11910.0,15537.083176648383,-3627.0831766483825,Saturday
2025-05-18,12356.0,16268.227236879466,-3912.2272368794656,Sunday
2025-05-19,19034.0,17033.654610239504,2000.345389760496,Monday
2025-05-20,19970.0,17834.92997861642,2135.0700213835808,Tuesday
2025-05-21,21267.0,18673.74379482167,2593.2562051783316,Wednesday
2025-05-22,21948.0,19551.847673753415,2396.1523262465853,Thursday
2025-05-23,22182.0,20471.06447434346,1710.9355256565395,Friday
2025-05-24,15547.0,20061.449381162063,-4514.449381162063,Saturday
2025-05-25,15079.0,18712.58189510533,-3633.5818951053297,Sunday
2025-05-26,22735.0,17797.085398966447,4937.9146010335535,Monday
2025-05-27,21884.0,17141.851531768218,4742.148468231782,Tuesday
2025-05-28,21416.0,16643.61943110642,4772.380568893579,Wednesday
2025-05-29,19460.0,16240.777890274487,3219.2221097255133,Thursday
2025-05-30,20821.0,15896.537071701,4924.462928299001,Friday
2025-05-31,13824.0,15588.94875254617,-1764.94875254617,Saturday
2025-06-01,12405.0,15304.875281042907,-2899.875281042907,Sunday
2025-06-02,12778.0,15036.463981768093,-2258.4639817680927,Monday
2025-06-03,18714.0,14779.008092755777,3934.9919072442226,Tuesday
2025-06-04,17381.0,14529.66465104143,2851.3353489585697,Wednesday
2025-06-05,17221.0,14286.723404272994,2934.2765957270058,Thursday
2025-06-06,17186.0,14049.134067469044,3136.8659325309563,Friday
2025-06-07,12103.0,13816.249529070896,-1713.2495290708957,Saturday
2025-06-08,10468.0,13587.649411402805,-3119.6494114028046,Sunday
2025-06-09,14929.0,13363.07703103947,1565.9229689605309,Monday
2025-06-10,13027.0,13142.33950323779,-115.33950323779027,Tuesday
2025-06-11,11943.0,12925.307885617227,-982.3078856172269,Wednesday
2025-06-12,11747.0,12711.885296389879,-964.8852963898789,Thursday
2025-06-13,12174.0,12501.980283868777,-327.9802838687774,Friday
2025-06-14,8477.0,12295.523037442239,-3818.523037442239,Saturday
2025-06-15,7820.0,12092.452679129037,-4272.452679129037,Sunday
2025-06-16,11534.0,11892.709179428872,-358.7091794288717,Monday
2025-06-17,10823.0,11696.235191716114,-873.2351917161141,Tuesday
2025-06-18,10415.0,11502.976313328556,-1087.976313328556,Wednesday
2025-06-19,10219.0,11312.878726480203,-1093.878726480203,Thursday
2025-06-20,10415.0,11125.894571404438,-710.8945714044385,Friday
2025-06-21,7198.0,10941.972555443224,-3743.9725554432243,Saturday
2025-06-22,6931.0,10761.06163301873,-3830.0616330187295,Sunday
2025-06-23,9650.0,10583.112095999484,-933.1120959994842,Monday
2025-06-24,9242.0,10408.059056587144,-1166.0590565871444,Tuesday
2025-06-25,8815.0,10235.90228491933,-1420.9022849193298,Wednesday
2025-06-26,8779.0,10066.561584669258,-1287.561584669258,Thursday
2025-06-27,8886.0,9899.99286697288,-1013.9928669728797,Friday
2025-06-28,6220.0,9736.172443684609,-3516.172443684609,Saturday
2025-06-29,6220.0,9575.01547267707,-3355.0154726770706,Sunday
2025-06-30,9508.0,9416.533510130597,91.46648986940272,Monday
2025-07-01,8109.0,9260.621107026469,-1151.621107026469,Tuesday
2025-07-02,8136.0,9107.302850431948,-971.3028504319482,Wednesday
2025-07-03,8332.0,8956.486768516525,-624.4867685165245,Thursday
2025-07-04,8493.0,8808.157171869696,-315.15717186969596,Friday
2025-07-05,5834.0,8662.269841020461,-2828.269841020461,Saturday
2025-07-06,5861.0,8518.769299058988,-2657.7692990589876,Sunday
2025-07-07,8680.0,8377.609563784394,302.3904362156063,Monday
2025-07-08,7886.0,8238.786120889987,-352.7861208899867,Tuesday
2025-07-09,7859.0,8102.249935374409,-243.24993537440878,Wednesday
2025-07-10,7404.0,7967.960094606271,-563.960094606271,Thursday
2025-07-11,8243.0,7835.880461126659,407.1195388733413,Friday
2025-07-12,5932.0,7705.9743238795545,-1773.9743238795545,Saturday
2025-07-13,5674.0,7578.20760548897,-1904.2076054889703,Sunday
2025-07-14,8618.0,7452.545934413233,1165.4540655867668,Monday
2025-07-15,7975.0,7328.954451021692,646.045548978308,Tuesday
2025-07-16,8109.0,7207.399467150494,901.6005328495057,Wednesday
2025-07-17,8172.0,7087.846198627073,1084.1538013729269,Thursday
2025-07-18,7538.0,6970.266134283459,567.733865716541,Friday
2025-07-19,6227.0,6854.625027948478,-627.6250279484784,Saturday
2025-07-20,5308.0,6740.890731971757,-1432.8907319717573,Sunday
2025-07-21,6709.0,6629.031957482407,79.96804251759295,Monday
2025-07-22,8778.0,6519.013304793974,2258.9866952060256,Tuesday
2025-07-23,7574.0,6410.814866635669,1163.1851333643308,Wednesday
2025-07-24,7494.0,6304.408869341388,1189.5911306586122,Thursday
2025-07-25,7458.0,6199.759757488081,1258.240242511919,Friday
2025-07-26,5576.0,6096.8352184650485,-520.8352184650485,Saturday
2025-07-27,5308.0,5995.621954136062,-687.6219541360624,Sunday
2025-07-28,7895.0,5896.079272963107,1998.9207270368934,Monday
2025-07-29,7351.0,5798.172069703834,1552.8279302961664,Tuesday
2025-07-30,6985.0,5701.867858715588,1283.1321412844118,Wednesday
2025-07-31,7048.0,5607.146886408096,1440.8531135919038,Thursday
2025-08-01,7134.0,5514.013127436396,1619.9868725636043,Friday
2025-08-02,5115.0,5422.419868028769,-307.4198680287691,Saturday
2025-08-03,5186.0,5332.338630808191,-146.33863080819083,Sunday
2025-08-04,4982.0,5243.742497229343,-261.7424972293429,Monday
2025-08-05,9759.0,5156.612449395005,4602.387550604995,Tuesday
2025-08-06,7054.0,5070.93029646487,1983.0697035351304,Wednesday
2025-08-07,6467.0,4986.664602864347,1480.3353971356528,Thursday
2025-08-08,6956.0,4903.790367299504,2052.2096327004956,Friday
2025-08-09,4964.0,4822.282804346597,141.717195653403,Saturday
2025-08-10,4724.0,4742.128214636352,-18.128214636351913,Sunday
2025-08-11,6983.0,4663.30446214308,2319.69553785692,Monday
2025-08-12,6369.0,4585.784276191704,1783.2157238082964,Tuesday
2025-08-13,6236.0,4509.544545949856,1726.455454050144,Wednesday
2025-08-14,5951.0,4434.562528094183,1516.437471905817,Thursday
2025-08-15,6218.0,4360.823130356893,1857.1768696431072,Friday
