Model,k,SSE,RMSE,R2,AIC,BIC
Constant-beta baseline,3,1339650651.0985315,2959.0347426968706,0.6688895816357776,2451.741228470838,2460.8325422350154
"Piecewise-beta, free change point",5,529929078.41519934,1861.0719351523628,0.8690217940673266,2313.8458204375283,2328.9980100444905
"Piecewise-beta, fixed May 26 reference",4,535625154.2337307,1871.0473007189455,0.8676139419188864,2313.481603722844,2325.603355408414
