Weekday,mean_residual,median_residual,n
Monday,597.8133757928013,196.92846304250452,22
Tuesday,919.9156555759647,455.9114210339262,22
Wednesday,649.7205784990454,748.2218309198042,21
Thursday,536.7811203940472,397.387494152086,22
Friday,743.8488042929229,487.42670229494115,22
Saturday,-1689.2775647475917,-1090.5541834682924,22
Sunday,-1898.2876399507777,-1610.5713532841978,22
