tc_day,tc_date,beta1,beta2,e_mult,i_mult,R_before,R_after,SSE,RMSE,R2,AIC,BIC
14,2025-05-15,0.28137398092722166,0.18591318996396766,0.9984437725326383,1.0155566477348288,1.4068699046361082,0.9295659498198383,1619983665.39922,3253.9404622735565,0.5996019792520592,2484.8123291940615,2499.9645188010236
15,2025-05-16,0.2815047855087543,0.18542893620407175,0.9976542984848942,1.0165818859268418,1.4075239275437714,0.9271446810203587,1432476369.2028403,3059.8350688206347,0.6459466133841116,2465.991586091172,2481.143775698134
16,2025-05-17,0.28203078540262705,0.184150227452304,1.0009487786575177,1.0193166229701807,1.4101539270131351,0.9207511372615199,1251178418.2400224,2859.656748724053,0.690756534793585,2445.2878048768503,2460.4399944838124
17,2025-05-18,0.28203038863120045,0.18303633562283617,1.0076835834855469,1.0125526137912362,1.4101519431560021,0.9151816781141808,1102588712.2545269,2684.4854575128948,0.7274822286699176,2425.9447719087107,2441.096961515673
18,2025-05-19,0.28738092008171495,0.17861747605196113,1.0209553916265393,1.0144158136619883,1.4369046004085746,0.8930873802598056,886213365.6150804,2406.7081708645956,0.7809619410790756,2392.5206477059896,2407.6728373129517
19,2025-05-20,0.2873809899873977,0.17861747635273095,1.020953173326454,1.0144135891409243,1.4369049499369884,0.8930873817636548,729783095.9139009,2183.992709763475,0.8196255225158573,2362.8064596446843,2377.9586492516464
20,2025-05-21,0.2859556544894123,0.1770817199814881,1.0208991103414549,1.0136032612753594,1.4297782724470613,0.8854085999074405,638652299.8093195,2043.085421114205,0.8421495708558548,2342.398220098631,2357.550409705593
21,2025-05-22,0.27956046211445396,0.17629950887231483,0.9989645007128242,0.9987679642106561,1.3978023105722697,0.8814975443615741,643582310.2580125,2050.9559547888252,0.840931060775732,2343.5747525516504,2358.7269421586125
22,2025-05-23,0.28379513164596515,0.1750572740023802,0.9998354799181973,1.000017418934744,1.4189756582298256,0.8752863700119009,532821408.789122,1866.1438497347299,0.8683069205894003,2314.6786173077594,2329.8308069147215
23,2025-05-24,0.28011822530626845,0.17449260336632633,1.0004755240517607,0.9992411572379952,1.4005911265313422,0.8724630168316316,529929078.41519934,1861.0719351523628,0.8690217940673266,2313.8458204375283,2328.9980100444905
24,2025-05-25,0.2830786020930143,0.17286105397442625,1.0146329218107821,1.014583151282774,1.4153930104650714,0.8643052698721312,635024579.6505175,2037.2745148104593,0.8430462045704015,2341.526660452446,2356.678850059408
25,2025-05-26,0.2736542470369258,0.17322466490735383,0.989849308906903,0.9993922606061965,1.368271235184629,0.8661233245367691,535625154.2337307,1871.0473007189455,0.8676139419188864,2315.481603722844,2330.633793329806
26,2025-05-27,0.2769546548871794,0.17029952267603785,1.013881279145824,0.974848294721505,1.384773274435897,0.8514976133801891,580302559.2380137,1947.5182116124565,0.8565713956772485,2327.7392054674015,2342.8913950743636
27,2025-05-28,0.2744053601985438,0.17146506662507446,0.8718640700713397,1.0180566669425477,1.3720268009927188,0.8573253331253723,599798151.2513255,1979.9619578627835,0.8517528307607216,2332.7948705528374,2347.9470601597995
28,2025-05-29,0.2744053620482775,0.1714650665946358,0.8718640724791528,1.018056646969036,1.3720268102413873,0.857325332973179,757040430.7967775,2224.404790471906,0.8128885515382653,2368.416862567353,2383.569052174315
29,2025-05-30,0.2695693955137941,0.1685687493602021,0.8840045708773975,1.0187832071562166,1.3478469775689705,0.8428437468010105,725330858.8736119,2177.3205018557524,0.8207259452774616,2361.8701832923352,2377.0223728992974
30,2025-05-31,0.26956939836862964,0.16856874929689103,0.8840045715624368,1.0187831557403364,1.3478469918431482,0.8428437464844551,912890007.1920702,2442.662758998167,0.7743684952834374,2397.0582694864147,2412.210459093377
31,2025-06-01,0.2610098312782307,0.17084597047755898,0.8840039238389615,0.9905051226695272,1.3050491563911533,0.8542298523877948,849816501.08969,2356.7681719406523,0.7899578543272539,2386.104241496975,2401.2564311039373
32,2025-06-02,0.2610106623242937,0.1708458884040015,0.8839935496297328,0.9904672172898884,1.3050533116214684,0.8542294420200075,983818670.472239,2535.7814157981843,0.756837641733332,2408.5066785161202,2423.6588681230824
33,2025-06-03,0.2610106630494608,0.170845888381209,0.8839935482040887,0.9904672330722915,1.3050533152473038,0.854229441906045,1159788962.668094,2753.238096757802,0.7133445138638643,2433.6830942341817,2448.835283841144
34,2025-06-04,0.2612327519118394,0.16755675712665133,0.883350646399933,0.9893548832309813,1.306163759559197,0.8377837856332566,1277610351.1923366,2889.704907466763,0.6842235716133416,2448.48635833153,2463.638547938492
35,2025-06-05,0.2612327519118394,0.16755675712665133,0.883350646399933,0.9893548832309813,1.306163759559197,0.8377837856332566,1539238603.3583477,3171.810686104379,0.6195590712381489,2476.9897168359253,2492.1419064428874
36,2025-06-06,0.261232753149137,0.1675567570869149,0.8833506478430176,0.9893548506634019,1.306163765745685,0.8377837854345744,1884580878.7420747,3509.6327561842613,0.5342036651944965,2507.9596050342,2523.1117946411623
37,2025-06-07,0.261232753149137,0.1675567570869149,0.8833506478430176,0.9893548506634019,1.306163765745685,0.8377837854345744,2326098233.7618837,3899.135343870001,0.42507745679397413,2540.1640908561753,2555.3162804631374
